Destination,Month,Duration,Age,Gender,Accomodation Style,Budget
Cape Town,July,12,20,Male,Eco-Lodge,37117.55
Kathmandu,August,10,27,Male,Airbnb,14054.44
Berlin,April,14,50,Male,Airbnb,31860.4
Reykjavik,February,16,26,Male,Vacation Rental,14640.87
Salzburg,February,10,44,Female,Airbnb,42787.29
Phuket,May,14,45,Male,Eco-Lodge,20969.46
Tokyo,April,7,18,Male,Hostel,32427.37
Honolulu,July,6,38,Male,Vacation Rental,41098.71
Cancun,June,12,60,Female,Hostel,4856.2
Dublin,November,5,63,Male,Resort,45880.96
Copenhagen,December,11,19,Male,Villa,5059.17
Luxembourg City,July,12,32,Male,Eco-Lodge,13868.57
New York,April,11,63,Male,Airbnb,45837.38
London,June,15,30,Female,Resort,33045.25
Rio de Janeiro,June,18,58,Female,Eco-Lodge,6598.76
Rome,October,15,55,Male,Vacation Rental,7105.45
Copenhagen,August,5,23,Female,Vacation Rental,10371.06
Vancouver,June,18,52,Male,Hostel,43713.35
Edinburgh,February,12,33,Female,Resort,45062.37
Auckland,August,14,30,Male,Hotel,41481.45
Rome,April,6,38,Male,Villa,27761.07
New York,January,8,28,Male,Vacation Rental,39842.83
Barcelona,July,14,40,Male,Airbnb,45850.95
Barcelona,February,13,62,Male,Villa,21200.58
Berlin,September,14,53,Male,Resort,30541.22
Rome,February,16,35,Female,Villa,39800.37
Cape Town,November,18,25,Male,Villa,11455.96
Auckland,January,6,60,Female,Hostel,16298.99
Phuket,December,6,57,Female,Hotel,13928.68
Cape Town,August,17,50,Female,Hostel,13296.68
Auckland,May,9,39,Female,Villa,12086.78
Honolulu,September,6,47,Female,Resort,49079.77
Tokyo,July,14,29,Female,Airbnb,14282.13
Seoul,October,10,27,Female,Hostel,25015.43
Phuket,December,17,38,Male,Airbnb,19937.61
Amsterdam,December,7,63,Male,Hostel,37224.22
Salzburg,November,7,53,Male,Hostel,36458.01
Dubai,February,12,34,Female,Airbnb,15780.09
Barcelona,March,14,34,Male,Vacation Rental,16890.0
Berlin,August,13,58,Female,Eco-Lodge,24065.09
Edinburgh,May,15,20,Female,Resort,23715.54
London,November,10,64,Female,Resort,27740.97
Cartagena,January,18,38,Female,Vacation Rental,34853.73
Copenhagen,November,6,55,Male,Eco-Lodge,18894.77
Dublin,January,6,50,Female,Hotel,19259.87
Edinburgh,September,14,32,Female,Hotel,24694.21
Auckland,February,6,52,Female,Resort,16905.8
Hoi An,July,18,20,Male,Airbnb,20791.8
Cancun,October,15,39,Male,Hostel,31059.78
Barcelona,November,15,49,Male,Airbnb,21353.05
Porto,December,5,53,Male,Hostel,5426.86
Vancouver,December,6,61,Male,Hotel,6032.92
Barcelona,May,12,61,Female,Airbnb,28478.48
Sydney,February,13,21,Male,Resort,25669.58
Bali,January,7,63,Male,Vacation Rental,48381.42
Auckland,May,17,19,Male,Villa,11758.33
Cairo,March,9,65,Female,Vacation Rental,17038.85
Rio de Janeiro,October,6,48,Male,Resort,47417.33
Amsterdam,February,11,55,Male,Eco-Lodge,21798.79
Paris,July,18,58,Male,Villa,48163.25
Cape Town,September,15,65,Male,Hotel,40748.27
Santorini,July,7,48,Male,Resort,13822.71
Honolulu,December,7,63,Female,Eco-Lodge,47289.86
Luxembourg City,February,5,51,Male,Resort,24830.91
Phuket,November,11,28,Female,Vacation Rental,43762.56
Rio de Janeiro,March,15,25,Female,Vacation Rental,39847.12
Auckland,September,6,55,Female,Hostel,27162.77
Vancouver,December,18,24,Male,Resort,7182.65
Auckland,July,15,46,Male,Hotel,29080.87
London,April,16,54,Male,Hotel,41656.24
Phuket,November,13,25,Female,Hotel,15693.88
New York,August,5,63,Female,Resort,19405.93
London,November,6,65,Female,Vacation Rental,26736.52
Phuket,November,12,29,Male,Hostel,49309.04
Rio de Janeiro,October,9,22,Female,Eco-Lodge,13895.25
Salzburg,January,16,23,Female,Vacation Rental,41524.82
London,March,13,44,Male,Eco-Lodge,4162.19
Vancouver,July,18,35,Male,Resort,2704.36
Porto,March,8,36,Male,Eco-Lodge,7291.13
Sydney,February,17,54,Male,Airbnb,33115.12
Marrakech,July,16,57,Female,Villa,33686.78
Hoi An,August,8,50,Female,Villa,5569.55
New York,April,7,55,Female,Eco-Lodge,36589.12
Porto,March,7,30,Female,Hostel,48603.27
Reykjavik,February,16,61,Male,Eco-Lodge,18053.61
Marrakech,May,7,64,Female,Hotel,41952.53
Berlin,May,17,36,Female,Hostel,45849.58
Porto,March,11,37,Male,Hostel,10767.05
Auckland,October,18,64,Female,Hostel,46846.02
Cairo,January,12,33,Male,Eco-Lodge,27694.15
Salzburg,November,8,38,Male,Resort,40015.35
Copenhagen,January,16,34,Female,Vacation Rental,11750.61
Luxembourg City,February,12,26,Male,Resort,13800.62
Copenhagen,August,5,40,Male,Hotel,45662.82
Reykjavik,October,10,18,Female,Hostel,23029.13
Cairo,May,12,32,Male,Airbnb,32174.44
Amsterdam,December,12,47,Female,Hotel,37013.83
Seoul,November,9,21,Male,Villa,28043.16
Copenhagen,June,15,39,Male,Hostel,38079.62
Cape Town,December,8,29,Male,Resort,1533.9
Honolulu,August,9,59,Male,Villa,14947.57
Porto,May,17,36,Male,Hotel,37566.63
Tokyo,November,11,37,Male,Eco-Lodge,19339.13
Dubai,October,13,62,Male,Villa,23912.01
Dublin,May,6,25,Male,Villa,17091.57
Amsterdam,August,9,36,Female,Airbnb,7437.49
Phuket,December,13,24,Male,Hotel,16070.36
Porto,May,15,47,Male,Airbnb,39122.91
Edinburgh,January,6,56,Female,Hotel,20067.32
Cancun,October,18,47,Female,Villa,3766.01
Honolulu,January,7,42,Female,Eco-Lodge,47183.25
Santorini,June,11,41,Male,Villa,20470.39
Porto,September,10,25,Female,Resort,36887.77
Phuket,July,8,40,Male,Resort,38459.01
Cape Town,June,14,24,Male,Villa,45816.38
Salzburg,February,8,48,Male,Vacation Rental,45451.08
New York,December,10,49,Female,Vacation Rental,43708.63
Auckland,July,14,29,Female,Resort,7891.8
Salzburg,June,8,31,Female,Resort,42846.76
Santorini,July,5,20,Female,Hostel,18653.12
Amsterdam,June,18,38,Male,Hotel,33050.4
Dubai,April,14,50,Male,Villa,17795.15
Sydney,August,6,64,Female,Hotel,47955.03
Salzburg,February,9,25,Male,Hotel,30716.29
Salzburg,December,15,41,Male,Villa,18141.43
Paris,May,11,38,Female,Eco-Lodge,2457.6
Paris,November,14,55,Male,Resort,21674.87
Sydney,July,11,26,Male,Airbnb,32657.28
Rio de Janeiro,October,5,32,Female,Villa,44436.84
Paris,November,8,33,Male,Airbnb,1230.21
Cancun,September,9,42,Female,Eco-Lodge,39088.11
Porto,October,11,64,Male,Hostel,43933.37
Dublin,December,11,57,Female,Vacation Rental,41404.56
London,October,11,40,Male,Hostel,47845.92
Copenhagen,October,8,25,Female,Villa,16364.39
Luxembourg City,July,10,52,Female,Resort,6583.82
Kathmandu,June,14,35,Male,Villa,29348.23
Luxembourg City,December,7,43,Male,Eco-Lodge,40127.08
Kathmandu,July,18,27,Female,Eco-Lodge,35056.23
New York,July,9,21,Female,Villa,37864.82
Rio de Janeiro,May,5,38,Female,Villa,43548.38
Reykjavik,April,9,20,Female,Villa,15093.95
Tokyo,April,10,29,Male,Vacation Rental,5526.19
Rome,July,17,49,Male,Villa,18992.45
Kathmandu,December,16,51,Female,Airbnb,15163.99
Bali,March,11,25,Female,Hotel,11357.83
Kathmandu,September,10,56,Female,Vacation Rental,38017.74
Bali,July,18,37,Male,Villa,31625.85
Cartagena,September,15,60,Male,Resort,24549.94
Paris,August,16,43,Male,Hostel,21322.89
Porto,May,13,58,Male,Airbnb,43154.49
Luxembourg City,July,17,58,Female,Villa,12573.14
Salzburg,July,5,63,Male,Villa,37567.66
London,February,10,18,Female,Hotel,23381.96
Barcelona,October,15,27,Female,Resort,34111.53
Cancun,September,18,32,Male,Hotel,49725.17
Seoul,March,14,34,Female,Villa,21470.36
Phuket,September,9,42,Male,Villa,12124.39
Cancun,December,6,45,Female,Resort,43379.16
New York,March,13,46,Male,Resort,10317.94
London,August,16,42,Male,Airbnb,45751.44
Dubai,December,9,25,Female,Eco-Lodge,23550.34
Cape Town,December,9,49,Female,Vacation Rental,48097.14
Sydney,November,10,51,Female,Vacation Rental,5013.32
Tokyo,December,10,51,Male,Hostel,25506.89
Sydney,February,18,23,Female,Eco-Lodge,46878.12
Tokyo,September,14,56,Female,Villa,40442.73
London,March,8,50,Male,Resort,23448.93
Cairo,February,18,22,Male,Airbnb,9504.96
Vancouver,November,18,50,Female,Villa,48903.31
Vancouver,February,13,46,Male,Eco-Lodge,44715.16
Reykjavik,December,16,55,Female,Villa,43642.34
Rome,February,6,48,Female,Airbnb,39330.12
Barcelona,November,6,46,Female,Vacation Rental,35445.88
Bali,April,5,53,Male,Eco-Lodge,20427.95
Rome,July,15,48,Female,Villa,42961.62
Kathmandu,November,15,45,Male,Resort,11698.53
Cairo,August,12,55,Female,Resort,35349.83
Edinburgh,July,5,26,Female,Resort,34567.66
Edinburgh,July,16,24,Male,Hostel,32154.84
Sydney,December,12,34,Female,Vacation Rental,42090.53
Tokyo,March,6,39,Female,Hostel,21825.95
Phuket,August,6,22,Male,Hostel,29868.31
Bali,October,17,38,Male,Hotel,6324.81
Berlin,September,7,50,Male,Resort,47907.86
Honolulu,December,13,22,Male,Villa,1661.55
Dubai,May,11,32,Female,Hotel,36421.87
Rome,November,18,37,Female,Hostel,45413.38
Amsterdam,January,13,56,Female,Eco-Lodge,15997.32
Porto,July,10,55,Male,Resort,47028.6
Honolulu,November,11,25,Female,Vacation Rental,38563.02
Cape Town,March,15,35,Male,Villa,8302.7
Kathmandu,July,16,32,Male,Eco-Lodge,11155.57
Rio de Janeiro,September,5,59,Male,Vacation Rental,14100.68
Rome,April,10,37,Female,Hostel,19439.51
Vancouver,July,9,19,Female,Resort,25557.63
London,July,16,41,Male,Airbnb,36728.82
London,March,8,39,Male,Vacation Rental,45626.09
Santorini,April,8,34,Female,Airbnb,35669.16
Reykjavik,September,16,34,Male,Villa,11921.4
Edinburgh,November,15,19,Male,Airbnb,27630.43
Porto,May,6,62,Female,Hotel,7035.87
Hoi An,March,7,65,Male,Villa,36207.23
Rome,June,18,35,Female,Villa,7745.47
Cairo,August,6,50,Female,Resort,30977.31
New York,February,7,59,Female,Vacation Rental,37169.47
Rio de Janeiro,June,11,29,Female,Airbnb,15718.23
Marrakech,July,11,25,Female,Hotel,5081.94
Honolulu,April,5,38,Female,Hotel,22484.9
Dubai,November,11,56,Male,Villa,21210.21
Sydney,October,18,28,Male,Villa,33851.56
Kathmandu,June,18,44,Female,Resort,10162.12
Paris,December,9,35,Male,Eco-Lodge,34531.67
Honolulu,December,8,64,Female,Vacation Rental,49156.44
Hoi An,September,9,43,Female,Airbnb,24570.02
Tokyo,February,5,29,Female,Airbnb,46886.21
Cairo,April,16,50,Male,Hostel,33268.72
Auckland,April,11,21,Female,Resort,8013.35
Vancouver,October,14,51,Male,Villa,10125.4
Rome,December,8,55,Female,Airbnb,41629.81
Salzburg,January,7,53,Male,Hostel,10861.95
Sydney,August,16,22,Female,Airbnb,43387.25
Sydney,August,15,63,Female,Hotel,11343.74
Berlin,January,15,27,Female,Villa,36123.94
Luxembourg City,October,11,32,Female,Villa,45955.66
Barcelona,February,17,41,Female,Hotel,20021.83
Seoul,February,8,55,Female,Villa,32396.82
Reykjavik,August,10,42,Male,Villa,49046.94
Barcelona,June,9,37,Female,Hostel,41541.85
Paris,March,15,20,Male,Hotel,41989.9
Rome,December,9,37,Male,Vacation Rental,41853.39
Salzburg,March,15,43,Female,Villa,14981.98
Cairo,March,18,51,Male,Eco-Lodge,43541.38
Dublin,March,11,54,Female,Resort,43382.66
London,June,15,18,Male,Airbnb,16852.32
Cape Town,February,9,54,Female,Hotel,46992.35
Berlin,August,10,65,Female,Eco-Lodge,15099.15
Kathmandu,January,14,54,Male,Resort,13304.98
Honolulu,February,9,59,Male,Resort,45367.7
Tokyo,April,13,49,Female,Vacation Rental,15746.7
Rome,October,14,21,Male,Hotel,39729.64
Amsterdam,December,6,53,Male,Hostel,13589.32
Rio de Janeiro,May,8,63,Male,Villa,13093.81
Cairo,December,13,28,Female,Vacation Rental,40755.53
Berlin,September,7,37,Male,Hostel,29758.09
Hoi An,August,18,45,Female,Hotel,18275.44
Kathmandu,December,9,62,Female,Eco-Lodge,43938.61
Tokyo,June,17,47,Female,Eco-Lodge,40390.75
Bali,May,7,21,Male,Resort,46421.6
Tokyo,September,7,54,Male,Vacation Rental,24286.96
Phuket,January,16,50,Female,Eco-Lodge,28508.62
Barcelona,September,6,62,Male,Resort,22237.46
Rome,September,14,23,Female,Eco-Lodge,19442.8
New York,April,18,64,Female,Airbnb,42134.61
Phuket,November,16,34,Female,Hostel,14071.68
Rio de Janeiro,September,18,63,Male,Resort,43323.32
Reykjavik,April,8,18,Male,Hostel,9418.99
Porto,August,12,46,Male,Hotel,49294.2
Copenhagen,February,11,35,Female,Villa,2833.95
Cancun,June,7,34,Female,Resort,12534.3
Cancun,March,11,31,Male,Hotel,6762.47
Berlin,May,5,34,Female,Hotel,6116.82
Auckland,June,8,53,Female,Eco-Lodge,31435.66
Rio de Janeiro,September,14,24,Female,Hostel,36318.22
Dubai,August,10,53,Male,Vacation Rental,1851.76
Cancun,November,9,33,Male,Villa,6900.47
Rio de Janeiro,January,5,45,Male,Villa,10373.61
Cancun,June,18,36,Male,Hotel,1080.49
Bali,November,10,50,Female,Villa,5171.21
Dublin,March,15,54,Male,Villa,46325.78
Santorini,October,16,29,Male,Hostel,5130.71
Santorini,April,7,41,Female,Vacation Rental,46243.06
Tokyo,November,15,53,Female,Vacation Rental,22162.88
New York,October,18,37,Male,Eco-Lodge,17074.76
Cape Town,October,5,37,Female,Resort,37784.0
Copenhagen,February,10,19,Male,Hostel,33120.58
Seoul,December,14,51,Male,Vacation Rental,20313.78
London,January,17,30,Female,Villa,29628.03
Kathmandu,January,15,33,Female,Vacation Rental,7777.05
London,October,15,41,Male,Eco-Lodge,22576.18
New York,April,7,58,Female,Hotel,30620.01
Reykjavik,December,12,61,Female,Resort,23148.89
Vancouver,January,10,50,Female,Hotel,21545.3
Paris,April,14,58,Female,Villa,32689.78
Copenhagen,March,17,54,Male,Hostel,13002.91
Kathmandu,May,16,18,Female,Airbnb,27158.7
New York,November,15,20,Female,Vacation Rental,25376.92
Dubai,October,5,50,Female,Hotel,36002.74
Vancouver,February,11,60,Male,Hostel,24633.38
Phuket,October,16,36,Male,Hostel,7310.44
Porto,December,10,37,Male,Airbnb,3312.05
Kathmandu,August,8,25,Female,Villa,8233.91
Amsterdam,July,15,19,Female,Hostel,27438.28
Cartagena,December,8,64,Female,Resort,33210.77
Sydney,June,15,35,Male,Hotel,43275.55
Porto,June,7,46,Male,Hostel,16442.06
Luxembourg City,February,16,60,Female,Resort,26830.07
Paris,March,6,48,Male,Eco-Lodge,24876.43
Cape Town,November,16,60,Male,Hotel,35234.07
Paris,August,16,52,Female,Vacation Rental,41662.14
New York,July,16,59,Female,Hostel,31053.77
Marrakech,January,16,58,Female,Hotel,23034.78
Tokyo,July,8,22,Female,Villa,24665.61
Amsterdam,October,18,30,Male,Resort,22778.61
Barcelona,June,10,42,Female,Hostel,15769.03
Seoul,February,18,22,Female,Airbnb,1516.66
Reykjavik,August,5,57,Male,Hotel,47258.0
Phuket,October,5,31,Female,Resort,32298.87
Sydney,October,5,47,Female,Hostel,25542.92
Cancun,December,17,22,Female,Hostel,37676.04
Dublin,May,17,39,Female,Hostel,39169.62
Tokyo,June,5,18,Male,Hostel,12795.78
Paris,March,10,30,Male,Vacation Rental,41175.93
Barcelona,March,18,50,Male,Hotel,28428.15
Honolulu,July,5,24,Female,Vacation Rental,35585.18
Copenhagen,May,18,57,Male,Eco-Lodge,46617.9
Luxembourg City,July,9,41,Female,Vacation Rental,3831.43
Bali,January,13,64,Male,Villa,6904.65
Salzburg,July,9,22,Female,Airbnb,10876.93
Porto,May,17,51,Male,Villa,21274.06
Dubai,March,9,18,Female,Villa,6726.26
New York,March,8,56,Male,Resort,6813.76
Salzburg,February,15,39,Female,Eco-Lodge,6950.49
New York,April,9,55,Male,Airbnb,2884.43
Auckland,June,8,49,Female,Resort,2275.66
Rome,November,5,44,Female,Hotel,38500.33
New York,November,12,40,Male,Eco-Lodge,42039.32
Honolulu,October,6,24,Female,Airbnb,4444.71
Sydney,March,5,20,Female,Resort,31174.16
New York,January,9,30,Female,Resort,28571.57
Tokyo,July,15,57,Male,Hotel,21280.97
Sydney,April,14,63,Female,Airbnb,9444.5
Rome,April,8,21,Female,Vacation Rental,5412.7
Vancouver,February,14,54,Male,Airbnb,40076.97
Berlin,July,10,30,Female,Hotel,49445.0
Paris,February,9,36,Male,Hostel,14308.03
Santorini,December,16,56,Male,Airbnb,26120.95
Bali,December,16,64,Female,Airbnb,16942.09
Rio de Janeiro,August,8,46,Female,Hotel,12899.88
Paris,November,15,65,Male,Resort,30329.02
Copenhagen,July,13,46,Female,Villa,3411.39
New York,October,5,35,Female,Airbnb,25676.31
Rio de Janeiro,April,17,52,Male,Villa,16207.43
Sydney,July,12,39,Female,Resort,35661.97
Cancun,October,9,35,Female,Airbnb,18833.15
Rome,August,5,49,Male,Eco-Lodge,17629.6
Bali,March,12,18,Female,Resort,30566.77
Vancouver,February,18,21,Female,Eco-Lodge,12367.53
Santorini,March,7,50,Female,Eco-Lodge,48968.41
Santorini,June,6,65,Female,Hostel,19174.13
Edinburgh,December,5,61,Male,Eco-Lodge,46941.07
Cairo,October,16,55,Female,Resort,35900.29
Porto,November,16,37,Female,Villa,23733.16
Luxembourg City,July,5,45,Female,Vacation Rental,9818.31
Cancun,February,10,52,Male,Eco-Lodge,3188.74
Santorini,March,15,56,Female,Airbnb,8579.97
Kathmandu,December,5,25,Male,Vacation Rental,28263.27
Sydney,July,15,46,Female,Hostel,22672.74
Cape Town,January,9,42,Female,Hostel,41009.27
Barcelona,June,10,50,Female,Resort,38784.02
Kathmandu,July,7,37,Male,Airbnb,34531.45
Auckland,May,5,19,Male,Eco-Lodge,34305.01
Sydney,July,15,35,Female,Airbnb,39509.83
Seoul,February,5,60,Male,Hotel,5620.14
Berlin,January,5,39,Female,Airbnb,28658.71
Kathmandu,March,17,46,Female,Villa,29834.17
Rome,July,18,60,Male,Vacation Rental,18551.84
Porto,July,5,49,Male,Villa,12037.2
Tokyo,August,13,39,Female,Vacation Rental,45694.22
Rio de Janeiro,October,12,22,Male,Airbnb,48234.4
Amsterdam,July,16,43,Female,Resort,37427.16
Hoi An,August,14,34,Female,Hostel,29291.52
Barcelona,December,6,38,Female,Vacation Rental,49259.31
Barcelona,October,10,33,Male,Airbnb,1697.13
Vancouver,February,17,63,Female,Eco-Lodge,29464.61
Auckland,December,15,45,Male,Hotel,29621.0
Copenhagen,January,7,52,Male,Villa,4849.84
Kathmandu,May,10,25,Male,Villa,18596.05
Barcelona,October,9,22,Female,Resort,2195.6
Bali,October,6,35,Female,Villa,11398.37
Amsterdam,May,14,19,Male,Hotel,19359.63
Phuket,August,16,44,Male,Vacation Rental,6950.64
Dubai,September,11,51,Female,Hotel,36472.1
Cape Town,May,10,54,Female,Resort,17358.82
Copenhagen,October,16,32,Female,Villa,14283.97
Luxembourg City,April,9,21,Female,Eco-Lodge,36687.22
Sydney,September,12,62,Male,Eco-Lodge,5944.12
Berlin,June,11,59,Female,Eco-Lodge,15923.3
Rio de Janeiro,January,6,44,Female,Airbnb,43135.54
Santorini,November,16,59,Female,Hotel,14391.98
Phuket,March,15,65,Female,Hotel,27524.99
Honolulu,January,12,53,Male,Airbnb,5925.68
Phuket,March,9,42,Male,Hostel,18640.47
Cape Town,February,10,22,Male,Villa,11641.5
Honolulu,November,18,34,Female,Eco-Lodge,36134.31
Paris,October,6,60,Female,Airbnb,26057.2
Porto,October,10,26,Female,Eco-Lodge,39849.98
Vancouver,August,14,23,Male,Hotel,6773.86
Copenhagen,October,10,60,Female,Hotel,16385.18
Cape Town,June,8,28,Female,Hostel,27731.92
Edinburgh,July,16,24,Male,Airbnb,27757.63
Honolulu,February,18,35,Female,Villa,6086.41
Honolulu,November,15,61,Male,Resort,22373.4
Tokyo,March,8,47,Female,Airbnb,32239.59
Cartagena,December,18,30,Male,Villa,36982.85
Cartagena,January,14,54,Male,Villa,35431.33
Salzburg,December,16,28,Female,Eco-Lodge,43244.08
Reykjavik,March,10,47,Female,Resort,8144.47
Porto,March,14,50,Male,Airbnb,10205.8
Rio de Janeiro,July,9,63,Female,Villa,33605.06
Cape Town,November,12,54,Male,Vacation Rental,34894.74
Cartagena,February,10,54,Female,Hostel,39795.13
Salzburg,January,7,47,Male,Hotel,29330.24
Porto,September,17,55,Male,Hotel,2903.55
Tokyo,March,16,20,Female,Hotel,49362.75
Phuket,November,7,39,Female,Hotel,33581.27
Cairo,December,11,64,Female,Eco-Lodge,7727.84
Salzburg,March,12,18,Female,Airbnb,39904.46
Barcelona,September,13,52,Male,Vacation Rental,35733.04
Barcelona,April,15,58,Female,Airbnb,45433.18
Berlin,November,15,61,Female,Eco-Lodge,7705.06
Luxembourg City,February,17,52,Female,Airbnb,28141.48
Kathmandu,November,9,56,Male,Resort,44588.49
Cape Town,September,7,40,Female,Hotel,37238.99
Sydney,April,18,54,Male,Resort,1357.94
Phuket,April,7,27,Female,Resort,37162.53
Cancun,July,9,29,Male,Airbnb,33797.6
Reykjavik,May,7,51,Female,Villa,40999.94
Berlin,September,8,33,Female,Eco-Lodge,35931.5
Bali,August,10,49,Female,Hotel,37548.73
New York,March,16,44,Male,Hostel,43047.16
Rome,February,15,41,Male,Hotel,42628.07
Cape Town,January,8,58,Male,Hostel,17081.73
Seoul,July,11,46,Female,Hotel,41131.03
Dublin,August,18,52,Male,Eco-Lodge,7755.54
Sydney,December,18,30,Female,Hostel,33986.51
Dublin,July,13,23,Female,Villa,48969.93
London,August,7,46,Female,Resort,14896.45
Tokyo,August,14,46,Male,Hotel,23938.94
Phuket,April,16,34,Female,Eco-Lodge,28098.01
Paris,December,17,31,Female,Eco-Lodge,45586.44
Salzburg,January,11,51,Female,Villa,23258.16
Luxembourg City,November,18,52,Male,Airbnb,20442.83
New York,February,10,22,Female,Hostel,37550.55
London,February,15,23,Female,Hostel,7921.82
Luxembourg City,September,7,41,Male,Hotel,22596.27
Kathmandu,June,14,31,Female,Hostel,2473.02
Cairo,May,16,49,Female,Resort,7877.49
Hoi An,April,17,40,Male,Hotel,29159.61
Berlin,September,18,29,Male,Hostel,46154.05
Marrakech,June,9,55,Female,Airbnb,41155.73
Edinburgh,October,17,33,Male,Airbnb,18872.95
Edinburgh,December,14,59,Male,Resort,7227.16
Cartagena,May,9,27,Male,Hostel,18740.66
Rome,August,12,54,Male,Airbnb,29816.33
Copenhagen,September,9,65,Female,Hotel,45712.64
Santorini,February,16,33,Female,Airbnb,33358.86
Rome,July,5,24,Male,Hotel,49903.75
Cancun,April,7,30,Male,Hostel,45191.59
Vancouver,September,7,64,Female,Vacation Rental,16196.01
Bali,November,15,20,Male,Hotel,32046.76
Barcelona,March,15,21,Male,Villa,37873.55
Phuket,September,16,23,Female,Resort,7022.07
Porto,March,16,31,Female,Villa,3551.2
London,August,13,62,Male,Hotel,12689.83
Bali,December,11,42,Female,Eco-Lodge,2282.74
Kathmandu,January,11,27,Male,Hotel,29285.64
London,June,10,53,Female,Hotel,27748.97
Berlin,September,13,29,Female,Eco-Lodge,2739.74
Rio de Janeiro,April,10,32,Female,Hostel,18935.83
Rome,January,15,62,Male,Villa,7585.6
Amsterdam,November,8,62,Female,Eco-Lodge,4263.62
Vancouver,June,16,45,Female,Airbnb,32619.31
Cartagena,June,9,39,Female,Airbnb,2959.28
Dubai,March,5,28,Female,Hotel,45805.43
Copenhagen,June,13,39,Male,Hostel,20532.48
Copenhagen,March,11,31,Female,Vacation Rental,11700.14
Auckland,November,16,56,Female,Vacation Rental,20621.61
Tokyo,January,10,58,Male,Resort,32612.92
Dublin,September,18,44,Male,Eco-Lodge,26953.81
Sydney,April,14,21,Female,Villa,17620.4
New York,December,8,46,Male,Hotel,39871.61
Copenhagen,June,18,63,Male,Vacation Rental,4335.26
Vancouver,July,13,51,Female,Villa,29984.39
Cairo,February,15,31,Female,Hotel,18919.43
Vancouver,July,18,56,Male,Airbnb,36681.42
Rio de Janeiro,March,13,47,Male,Hotel,3306.85
Copenhagen,January,12,45,Male,Airbnb,41472.41
Hoi An,August,11,42,Male,Eco-Lodge,3110.86
Tokyo,June,16,52,Male,Villa,27351.82
Reykjavik,December,17,46,Female,Airbnb,31033.73
Copenhagen,December,15,65,Female,Eco-Lodge,23564.23
Porto,December,18,39,Female,Hotel,23521.66
Cairo,March,13,58,Male,Hotel,30901.8
Rio de Janeiro,June,10,46,Female,Villa,19477.04
New York,September,12,63,Male,Resort,48848.26
Cartagena,June,11,28,Male,Resort,15282.72
Auckland,December,11,36,Male,Vacation Rental,49097.96
Copenhagen,September,12,59,Male,Eco-Lodge,28473.25
Edinburgh,July,14,65,Male,Hotel,35556.72
Cartagena,March,11,36,Male,Vacation Rental,2612.81
Cartagena,December,14,49,Male,Eco-Lodge,36381.15
Barcelona,September,18,40,Male,Hotel,11155.91
Reykjavik,April,10,20,Male,Resort,21742.02
Phuket,November,10,33,Male,Villa,3561.77
Hoi An,February,16,20,Male,Resort,37973.72
Luxembourg City,July,15,39,Female,Vacation Rental,38475.54
Reykjavik,November,6,26,Male,Hostel,48580.99
Reykjavik,March,5,39,Female,Vacation Rental,14509.58
Auckland,August,15,27,Female,Hotel,32306.35
Auckland,June,5,49,Male,Villa,34874.39
Honolulu,December,16,53,Male,Villa,35645.78
Honolulu,December,15,25,Female,Hostel,5048.9
Sydney,May,17,37,Male,Villa,46952.12
Honolulu,May,10,61,Female,Vacation Rental,48460.16
Phuket,June,10,29,Male,Airbnb,22701.87
London,June,14,54,Female,Vacation Rental,48713.48
Paris,October,5,30,Male,Airbnb,35241.78
Rio de Janeiro,April,7,18,Male,Vacation Rental,35145.09
Vancouver,December,6,20,Male,Eco-Lodge,5944.58
Luxembourg City,October,16,23,Female,Eco-Lodge,42758.27
London,October,6,25,Female,Villa,3689.51
Santorini,December,14,38,Female,Hostel,6652.08
Sydney,September,9,18,Female,Hotel,37005.94
Sydney,October,16,53,Female,Vacation Rental,2929.36
Cape Town,September,9,27,Female,Villa,9149.13
Rio de Janeiro,December,5,40,Male,Eco-Lodge,4034.09
Cartagena,January,16,62,Female,Hostel,35846.44
Marrakech,February,15,24,Female,Resort,35095.0
Bali,October,14,40,Male,Eco-Lodge,33125.59
New York,September,7,37,Male,Vacation Rental,43252.31
Marrakech,November,12,32,Female,Vacation Rental,6761.38
Copenhagen,April,11,24,Female,Hotel,3469.38
Edinburgh,April,7,32,Female,Hotel,4637.3
Bali,April,18,40,Male,Vacation Rental,9663.28
Seoul,December,14,19,Female,Vacation Rental,5444.1
Dubai,August,17,65,Male,Villa,46959.65
Sydney,November,12,33,Female,Eco-Lodge,36466.13
Berlin,August,16,23,Male,Hotel,40097.46
Bali,April,17,27,Male,Hostel,7624.17
Porto,October,11,23,Male,Airbnb,26783.69
Edinburgh,January,12,28,Male,Airbnb,24863.89
Amsterdam,September,6,38,Female,Resort,39038.71
Cairo,April,12,40,Female,Villa,3102.27
Cancun,November,16,42,Male,Airbnb,45768.18
Tokyo,June,7,51,Female,Villa,41704.25
Dubai,August,5,53,Female,Vacation Rental,42365.57
Cartagena,January,15,21,Male,Hostel,35434.9
Porto,September,16,23,Male,Eco-Lodge,32464.44
Porto,July,9,20,Female,Hostel,40738.42
Cape Town,March,9,40,Female,Airbnb,15898.81
Reykjavik,June,13,21,Female,Hotel,6554.77
New York,August,9,59,Female,Vacation Rental,18549.13
